"id","name","latitude","longitude","state","facility_id_ghgrp","facility_id_trace","facility_id_lmop","country_id","facility_type","year_landfill_opened","landfill_closure_year","status","ownership_type","landfill_owner_organization(s)","created_date","modified_date","surface_area_sq_m","cover_type"
9132,"Cienega 2","15.74944784","-96.3607691",NULL,NULL,25772161,NULL,234,NULL,NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
9428,"Rebeico","28.895952","-109.75331",NULL,NULL,25772457,NULL,234,NULL,NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
10538,"OpenStreetMap Landfill","19.20895193","-99.43001595",NULL,NULL,25773706,NULL,234,NULL,NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
12118,"OpenStreetMap Landfill","56.446157020640285","44.07521777",NULL,NULL,25775286,NULL,279,NULL,NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
11094,"OpenStreetMap Landfill","-38.68523066","176.1266638351671",NULL,NULL,25774262,NULL,261,NULL,NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
11097,"OpenStreetMap Landfill","-37.82491007","175.80331688842404",NULL,NULL,25774265,NULL,261,NULL,NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
11204,"OpenStreetMap Landfill","36.31750717714527","33.83835536991662",NULL,NULL,25774372,NULL,314,NULL,NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
2987,"green lake slf",NULL,NULL,"WI",NULL,NULL,1711,321,"Sanitary Landfill",1970,NULL,"Closed","Private","WM","2023-12-08 22:44:44.232941",NULL,NULL,NULL
11979,"OpenStreetMap Landfill","55.28954226","36.676081",NULL,NULL,25775147,NULL,279,NULL,NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
13228,"OpenStreetMap Landfill","40.53988193","141.43392326620244",NULL,NULL,25776396,NULL,207,NULL,NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
14907,"Payatas","14.71425825","121.1067581",NULL,NULL,25778075,NULL,266,"Dumpsite",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,"257352.94",NULL
6787,"1972 Landfill (Non-Operating)","52.22692","-113.79518",NULL,NULL,25768951,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6788,"Armstrong Spallumcheen Recycling And Disposal Facility","50.45","-119.17",NULL,NULL,25768952,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6789,"Bailey Sanitary Landfill","49.10991","-121.92697",NULL,NULL,25768953,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6790,"Beare Road Landfill","43.82399","-79.16456",NULL,NULL,25768954,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6791,"Brady Road Resource Management Facility","49.7583","-97.2004",NULL,NULL,25768955,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6792,"Bridge Street Landfiil Site","42.9284","-78.9611",NULL,NULL,25768956,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6793,"Britannia Sanitary Landfill Site","43.6034","-79.6967",NULL,NULL,25768957,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6794,"Brock West Landfill","43.8685","-79.10054",NULL,NULL,25768958,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6795,"Cache Creek Landfill","50.79013","-121.32038",NULL,NULL,25768959,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6796,"Cambridge Landfill Site","43.368","-80.2738",NULL,NULL,25768960,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6797,"Campbell River Waste Management Centre","50.00816","-125.34886",NULL,NULL,25768961,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6798,"Camrose Regional Landfill","53.0222","-112.82859",NULL,NULL,25768962,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6799,"Centre Technologique Aes","48.36553","-71.09347",NULL,NULL,25768963,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6800,"Chaparral Landfill","50.52303","-114.12662",NULL,NULL,25768964,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6801,"City Of Cornwall Landfill Site","45.0343","-74.8071",NULL,NULL,25768965,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6802,"City Of Medicine Hat Landfill","50.05244","-110.61484",NULL,NULL,25768966,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6803,"City Of Moose Jaw (Landfill)","50.39872","-105.48078",NULL,NULL,25768967,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6804,"City Of Prince Albert Landfill","53.2315","-105.7886",NULL,NULL,25768968,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6805,"City Of Thunder Bay Solid Waste And Recycling Facility","48.44145","-89.36936",NULL,NULL,25768969,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6806,"City Of Wetaskiwin Landfill","52.99753","-113.4131",NULL,NULL,25768970,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6807,"Clearview Sub-Regional Landfill","54.18507","-124.21086",NULL,NULL,25768971,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6808,"Clover Bar Landfills","53.60157","-113.33544",NULL,NULL,25768972,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6809,"Cogerno Regional Landfill","47.3687","-67.9747",NULL,NULL,25768973,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6810,"Comox Valley Waste Management Centre","49.63765","-125.05385",NULL,NULL,25768974,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6811,"Complexe Environnemental St-Michel","45.56015","-73.62109",NULL,NULL,25768975,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6812,"Crane Mountain","45.2706","-66.2117",NULL,NULL,25768976,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6813,"Drumheller & District Regional Landfill","51.4535","-112.69256",NULL,NULL,25768977,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6814,"Durham York Energy Centre","43.87424","-78.75309",NULL,NULL,25768978,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6815,"Dépôt Rive-Nord","46.05983","-73.25761",NULL,NULL,25768979,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6816,"Eco360 Landfill","46.0537","-64.539",NULL,NULL,25768980,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6817,"East Calgary Landfill","51.0265","-113.9419",NULL,NULL,25768981,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6818,"Eastview Landfill","43.5742","-80.2323",NULL,NULL,25768982,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6819,"Ecowaste Industries Ltd.","49.14378","-123.05642",NULL,NULL,25768983,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6820,"Elm Street Landfill Site","42.925","-79.258",NULL,NULL,25768984,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6821,"Emerald Energy From Waste Inc.","43.697","-79.6826",NULL,NULL,25768985,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6822,"Essex County Landfill No. 3","42.2556","-82.7795",NULL,NULL,25768986,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6823,"Essex-Windsor Regional Landfill","42.0879","-82.8725",NULL,NULL,25768987,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6824,"Flagstaff Waste Regional Landfill","52.86229","-111.64862",NULL,NULL,25768988,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6825,"Foothills Boulevard Regional Landfill","53.99054","-122.82637",NULL,NULL,25768989,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6826,"Foothills Regional Landfill & Resource Recovery Centre","50.64958","-113.97835",NULL,NULL,25768990,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6827,"Fort Mcmurray Class 1 Composting Facility","56.64483","-111.37049",NULL,NULL,25768991,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6828,"Fort Mcmurray Regional Landfill","56.63751","-111.36454",NULL,NULL,25768992,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6829,"Fredericton Region Landfill","45.88107","-66.6109",NULL,NULL,25768993,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6830,"Gfl Environmental Inc.","45.12093","-64.0526",NULL,NULL,25768994,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6831,"Glanbrook Landfill Site","43.0705","-79.7917",NULL,NULL,25768995,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6832,"Glenridge Landfill Site","43.1222","-79.23763",NULL,NULL,25768996,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6833,"Greater Vernon Recycling And Disposal Facility","50.22","-119.3",NULL,NULL,25768997,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
6834,"Green Lane Landfill","42.8156","-81.3267",NULL,NULL,25768998,NULL,135,"Sanitary Landfill",NULL,NULL,"Open",NULL,NULL,"2024-01-18 18:54:21.438842",NULL,NULL,NULL
