"facility_id","data_collection_year","lfg_collection_system_in_place","lfg_collected_mmscfd","lfg_flared_mmscfd","data_source_id","created_date","modified_date","data_source_location_id"
3694,2022,"Yes","11.931","4.407",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
6048,2022,"Yes","6.31","3.569",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4344,2022,"Yes","0.83",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1888,2022,"Yes","12.372","1.129",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4316,2022,"Yes","15.712",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5306,2022,"Yes","9.738","0.0",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2766,2022,"Yes","5.054","0.414",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5257,2022,"Yes","6.136","0.548",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1673,2022,"No",NULL,NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4177,2022,"Yes","12.601","5.83",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
4971,2022,"Yes","0.813",NULL,7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5433,2022,"Yes","4.043","0.323",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
5353,2022,"Yes","13.185","1.124",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
1183,2022,"Yes","1.124","0.439",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
3194,2022,"Yes","1.024","0.397",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
2551,2022,"Yes","8.343","8.343",7,"2023-12-08 22:44:44.232941","2024-04-09 16:33:52.470882",12
